Taxon,Species,Genes,12S,16S,AMEL,BDNF,BMP2,CMOS,COI,CYTB,ND1,ND2,ND4,NT3,PDC,PRLR,R35,RAG1,RAG2
Amphisbaenia,Amphisbaena steindachneri,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena stejnegeri,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena supernumeraria,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena talisiae,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena townsendi,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena trachura,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena tragorrhectes,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena uroxena,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena vanzolinii,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena varia,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena vermicularis,5,,FJ441686,,FJ441869,,FJ441746,,,,FJ441929,,,,,,FJ441806,
Amphisbaenia,Amphisbaena wiedi,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena wuchereri,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena xera,6,EU203656,EU203656,,,,AY662568,,,AY662541,AY662541,,,,,,AY662619,
Amphisbaenia,Ancylocranium barkeri,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Ancylocranium ionidesi,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Ancylocranium somalicum,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Baikia africana,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Bipes biporus,15,AY605481,AY605481,,HM160582,JN654815,AF039482,NC_006287,AY605481,U71335,NC_006287,NC_006287,JN568335,,JN880810,DQ119614,AY662616,DQ119632
Amphisbaenia,Bipes canaliculatus,14,EU203658,EU203658,EU203601,EU203608,,FJ518700,NC_006288,AY605482,NC_006288,NC_006288,NC_006288,EU203625,,JN880811,HQ876353,GU457999,
Amphisbaenia,Bipes tridactylus,7,AY605479,AY605479,,,,,NC_006286,AY605479,NC_006286,NC_006286,NC_006286,,,,,,
Amphisbaenia,Blanus alexandri,2,,,,,,,,,,,KJ584071,,,KJ584093,,,
Amphisbaenia,Blanus aporus,2,,,,,,,,,,,KJ584089,,,KJ584099,,,
Amphisbaenia,Blanus cinereus,10,NC_012433,NC_012433,,,,AY444019,NC_012433,NC_012433,NC_012433,DQ902265,EU443257,EU108015,,,,EU108523,
Amphisbaenia,Blanus mariae,2,,KJ624872,,,,,,,,,KJ624824,,,,,,
Amphisbaenia,Blanus mettetali,2,,EF036461,,,,,,,,,EF036462,,,,,,
Amphisbaenia,Blanus strauchi,12,EU203660,EU203660,EU203604,EU203611,,AY444024,,,,FJ518703,EF036463,EU203628,,KJ584097,EU203630,AY444050,EU203634
Amphisbaenia,Blanus tingitanus,4,,EF036466,,,,DQ324866,,,,DQ902269,DQ329241,,,,,,
Amphisbaenia,Cadea blanoides,9,EU203661,EU203661,EU203605,EU203612,,EU203613,,,,,,EU203629,,,EU203631,EU203662,EU203635
Amphisbaenia,Cadea palirostrata,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Chirindia ewerbecki,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Chirindia langi,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Chirindia mpwapwaensis,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Chirindia rondoensis,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Chirindia swynnertoni,4,,HG425323,,,,AY444010,,,,HG425312,,,,,,AY444037,
Amphisbaenia,Cynisca bifrontalis,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Cynisca degrysi,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Cynisca feae,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Cynisca gansi,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Cynisca haugi,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Cynisca kigomensis,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Cynisca kraussi,3,,HG425322,,,,HG425295,,,,,,,,,,HG425277,
Amphisbaenia,Cynisca leonina,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Cynisca leucura,2,,,,,,AY444011,,,,,,,,,,AY444038,
Amphisbaenia,Cynisca liberiensis,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Cynisca muelleri,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Cynisca nigeriensis,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Cynisca oligopholis,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Cynisca rouxae,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Cynisca schaeferi,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Cynisca senegalensis,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Cynisca williamsi,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Dalophia angolensis,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Dalophia ellenbergeri,4,,HG425315,,,,HG425299,,,,HG425304,,,,,,HG425283,
Amphisbaenia,Dalophia gigantea,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Dalophia longicauda,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Dalophia luluae,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Dalophia pistillum,4,,HG425320,,,,HG425294,,,,HG425313,,,,,,HG425282,
Amphisbaenia,Diplometopon zarudnyi,14,AY605474,KJ624788,,JN654798,JN654818,AY444023,NC_006283,AY605474,NC_006283,NC_006283,NC_006283,JN568326,,JN880828,JN568486,JN654858,
Amphisbaenia,Geocalamus acutus,14,AB162909,AB162909,,JN654800,JN654819,AY444017,AB162909,AB162909,NC_006285,FJ441967,AB162909,JN568319,,JN880839,JN568505,JN654860,
Amphisbaenia,Geocalamus modestus,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Loveridgea ionidesii,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Loveridgea phylofiniens,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Mesobaena huebneri,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Mesobaena rhachicephala,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Monopeltis adercae,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Monopeltis anchietae,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Monopeltis capensis,4,,HG425324,,,,AY444009,,,,HG425311,,,,,,AY444036,
Amphisbaenia,Monopeltis decosteri,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Monopeltis galeata,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Monopeltis guentheri,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Monopeltis infuscata,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Monopeltis jugularis,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Monopeltis kabindae,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Monopeltis leonhardi,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Monopeltis luandae,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Monopeltis perplexus,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Monopeltis remaclei,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Monopeltis rhodesiana,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Monopeltis scalper,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Monopeltis schoutedeni,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Monopeltis sphenorhynchus,3,,,,,,HG425296,,,,HG425309,,,,,,HG425276,
Amphisbaenia,Monopeltis vanderysti,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Monopeltis welwitschii,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Monopeltis zambezensis,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Pachycalamus brevis,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Rhineura floridana,17,EU203657,EU203657,EU203600,EU203607,GU457906,AY444022,NC_006282,AY605473,NC_006282,NC_006282,NC_006282,EU203624,EU293714,JN880874,DQ119613,AY662618,DQ119631
Amphisbaenia,Trogonophis wiegmanni,14,EU203659,EU203659,EU203603,EU203610,GU457907,AY444025,,,AY662542,AY662542,KJ624832,EU203627,,JN880884,HQ876354,AY662617,DQ119634
Amphisbaenia,Zygaspis dolichomenta,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Zygaspis ferox,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Zygaspis kafuensis,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Zygaspis nigra,4,,HG425317,,,,HG425293,,,,HG425310,,,,,,HG425288,
Amphisbaenia,Zygaspis quadrifrons,4,,HG425316,,,,HG425292,,,,HG425308,,,,,,HG425287,
Amphisbaenia,Zygaspis vandami,4,,HG425314,,,,HG425290,,,,HG425303,,,,,,HG425284,
Amphisbaenia,Zygaspis violacea,0,,,,,,,,,,,,,,,,,
Rhynchocephalia,Sphenodon punctatus,17,AF534390,AF534390,REF2,GU457846,GU457880,AF039483,AF534390,AF534390,AF534390,AF534390,AF534390,GU456002,HQ426257,JN880798,HQ876320,AY662576,HQ426516
Sauria,Ablepharus bivittatus,0,,,,,,,,,,,,,,,,,
Sauria,Ablepharus budaki,2,,AY561432,,,,,,AY561376,,,,,,,,,
Sauria,Ablepharus chernovi,2,,JX847534,,,,,,AY561379,,,,,,,,,
Sauria,Ablepharus darvazi,0,,,,,,,,,,,,,,,,,
Sauria,Ablepharus deserti,0,,,,,,,,,,,,,,,,,
Sauria,Ablepharus grayanus,2,KF514642,KF514647,,,,,,,,,,,,,,,
Sauria,Ablepharus kitaibelii,3,AY308325,AY561419,,,,,,AY561365,,,,,,,,,
Sauria,Ablepharus lindbergi,0,,,,,,,,,,,,,,,,,
Sauria,Ablepharus pannonicus,0,,,,,,,,,,,,,,,,,
Sauria,Ablepharus rueppellii,0,,,,,,,,,,,,,,,,,
Sauria,Abronia anzuetoi,2,AF056602,,,,,,,AF056587,,,,,,,,,
Sauria,Abronia aurita,2,AF056616,,,,,,,AF056601,,,,,,,,,
Sauria,Abronia bogerti,0,,,,,,,,,,,,,,,,,
Sauria,Abronia campbelli,2,AF056605,,,,,,,AF056590,,,,,,,,,
Sauria,Abronia chiszari,1,,,,,,,,,,,AY605101,,,,,,
Sauria,Abronia deppii,0,,,,,,,,,,,,,,,,,
Sauria,Abronia fimbriata,2,AF056606,,,,,,,AF056591,,,,,,,,,
Sauria,Abronia frosti,2,AF056607,,,,,,,AF056592,,,,,,,,,
Sauria,Abronia fuscolabialis,0,,,,,,,,,,,,,,,,,
Sauria,Abronia gaiophantasma,0,,,,,,,,,,,,,,,,,
Sauria,Abronia graminea,10,AB080273,AB080273,,JQ845040,JQ844993,,AB080273,NC_005958,AY742917,AY742923,AB080273,JQ844947,,,,,
Sauria,Abronia leurolepis,0,,,,,,,,,,,,,,,,,
Sauria,Abronia lythrochila,2,AF056608,,,,,,,AF056593,,,,,,,,,
Sauria,Abronia martindelcampoi,0,,,,,,,,,,,,,,,,,
Sauria,Abronia matudai,2,AF056609,,,,,,,AF056594,,,,,,,,,
Sauria,Abronia meledona,0,,,,,,,,,,,,,,,,,
Sauria,Abronia mitchelli,0,,,,,,,,,,,,,,,,,
Sauria,Abronia mixteca,2,AF056610,,,,,,,AF056595,,,,,,,,,
Sauria,Abronia montecristoi,0,,,,,,,,,,,,,,,,,
Sauria,Abronia oaxacae,2,,,,,,,,,AF085615,AF085615,,,,,,,
Sauria,Abronia ochoterenai,0,,,,,,,,,,,,,,,,,
Sauria,Abronia ornelasi,2,AF056611,,,,,,,AF056596,,,,,,,,,
Sauria,Abronia ramirezi,0,,,,,,,,,,,,,,,,,
Sauria,Abronia reidi,0,,,,,,,,,,,,,,,,,
Sauria,Abronia salvadorensis,0,,,,,,,,,,,,,,,,,
Sauria,Abronia smithi,0,,,,,,,,,,,,,,,,,
Sauria,Abronia taeniata,0,,,,,,,,,,,,,,,,,
Sauria,Abronia vasconcelosii,0,,,,,,,,,,,,,,,,,
Sauria,Acanthocercus adramitanus,0,,,,,,,,,,,,,,,,,
Sauria,Acanthocercus annectens,7,,JX668129,,,,JX838887,KP994950,,,,JX857561,JX839176,,,JX839078,KP994941,
Sauria,Acanthocercus atricollis,5,,JX668132,,,,JX838891,,,,,JX857555,JX839179,,,JX839082,,
Sauria,Acanthocercus branchi,0,,,,,,,,,,,,,,,,,
Sauria,Acanthocercus cyanogaster,5,,JX668139,,,,JX838896,,,,,JX857562,JX839180,,,JX839085,,
Sauria,Acanthocercus guentherpetersi,0,,,,,,,,,,,,,,,,,
Sauria,Acanthocercus phillipsii,0,,,,,,,,,,,,,,,,,
Sauria,Acanthocercus yemensis,6,,JX668141,,,,JX838898,,,,,JX857559,JX839182,,,JX839087,KP994942,
Sauria,Acanthodactylus aegyptius,0,,,,,,,,,,,,,,,,,
Sauria,Acanthodactylus ahmaddisii,0,,,,,,,,,,,,,,,,,
Sauria,Acanthodactylus arabicus,0,,,,,,,,,,,,,,,,,
Sauria,Acanthodactylus aureus,2,AF197485,AF197486,,,,,,,,,,,,,,,
Sauria,Acanthodactylus bedriagai,2,AY633415,AY633438,,,,,,,,,,,,,,,
Sauria,Acanthodactylus beershebensis,2,JF912449,JF912448,,,,,,,,,,,,,,,
Sauria,Acanthodactylus blanci,2,AY633407,AY633431,,,,,,,,,,,,,,,
Sauria,Acanthodactylus blanfordii,5,KJ567755,AF197482,,,,KJ548021,,KJ567847,,,KJ652822,,,,,,
Sauria,Acanthodactylus boskianus,6,GU225704,AY633441,,,,EF632251,,HM778108,,,HM778101,,,,,EF632206,
Sauria,Acanthodactylus boueti,0,,,,,,,,,,,,,,,,,
Sauria,Acanthodactylus busacki,2,EU086876,EU086903,,,,,,,,,,,,,,,
Sauria,Acanthodactylus cantoris,4,KJ567757,AF080346,,,,KJ548019,,KJ567851,,,,,,,,,
Sauria,Acanthodactylus dumerilii,0,,,,,,,,,,,,,,,,,
Sauria,Acanthodactylus erythrurus,6,AF206607,AF206607,,,,HQ605874,AF206568,AF206536,,,,,,,,HQ616540,
Sauria,Acanthodactylus felicis,3,KJ567734,,,,,KJ548008,,KJ567845,,,,,,,,,
Sauria,Acanthodactylus gongrorhynchatus,3,AF080341,AF080343,,,,,,AF080342,,,,,,,,,
Sauria,Acanthodactylus grandis,3,,JX847521,,,,,,JX847555,,,KJ652837,,,,,,
Sauria,Acanthodactylus guineensis,0,,,,,,,,,,,,,,,,,
Sauria,Acanthodactylus haasi,0,,,,,,,,,,,,,,,,,
Sauria,Acanthodactylus hardyi,0,,,,,,,,,,,,,,,,,
Sauria,Acanthodactylus harranensis,0,,,,,,,,,,,,,,,,,
Sauria,Acanthodactylus khamirensis,2,,,,,,,,KJ652709,,,KJ652794,,,,,,
Sauria,Acanthodactylus lineomaculatus,2,AY633413,AY633437,,,,,,,,,,,,,,,
Sauria,Acanthodactylus longipes,2,AF197489,AF197490,,,,,,,,,,,,,,,
Sauria,Acanthodactylus maculatus,2,EU086875,EU086902,,,,,,,,,,,,,,,
Sauria,Acanthodactylus masirae,4,KJ567753,AF197504,,,,KJ548017,,KJ567849,,,,,,,,,
Sauria,Acanthodactylus micropholis,2,,,,,,,,KJ652744,,,KJ652778,,,,,,
Sauria,Acanthodactylus nilsoni,2,,,,,,,,KJ652736,,,KJ652830,,,,,,
Sauria,Acanthodactylus opheodurus,4,KJ567750,AF197502,,,,KJ548007,,KJ567844,,,,,,,,,
Sauria,Acanthodactylus orientalis,2,AF197491,AF197492,,,,,,,,,,,,,,,
Sauria,Acanthodactylus pardalis,2,EU086878,EU086905,,,,,,,,,,,,,,,
Sauria,Acanthodactylus robustus,0,,,,,,,,,,,,,,,,,
Sauria,Acanthodactylus savignyi,0,,,,,,,,,,,,,,,,,
Sauria,Acanthodactylus schmidti,4,AF080375,AF080377,,,,,,AF080376,,,KJ652831,,,,,,
Sauria,Acanthodactylus schreiberi,5,KJ567725,JX847526,,,,GU433302,,JX847559,,,,,,,,GU433312,
Sauria,Acanthodactylus scutellatus,5,KJ567759,AF197488,,,,EF632252,,KJ567853,,,,,,,,EF632207,
Sauria,Acanthodactylus senegalensis,0,,,,,,,,,,,,,,,,,
