Taxon,Family,Subfamily,Scientific Name,Genes,12S,16S,BDNF,CXCR4,cytb,H3A,NCX1,ND1,ND2,POMC,RAG1,RHOD,SIA,SLC8A3,TYR
Anura,Arthroleptidae,Arthroleptinae,Arthroleptis stenodactylus,2,FJ151099,DQ022343,,,,,,,,,,,,,
Anura,Arthroleptidae,Arthroleptinae,Arthroleptis stridens,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Arthroleptinae,Arthroleptis sylvaticus,6,DQ022314,DQ022349,,,,DQ284131,,,,,,DQ283801,DQ282666,,DQ282912
Anura,Arthroleptidae,Arthroleptinae,Arthroleptis taeniatus,5,DQ283232,DQ283232,,,,DQ284262,,,,,,DQ283907,,,DQ282954
Anura,Arthroleptidae,Arthroleptinae,Arthroleptis tanneri,6,DQ022308,FJ151056,KC180092,,,DQ284405,,,,,,DQ284028,,,DQ283020
Anura,Arthroleptidae,Arthroleptinae,Arthroleptis troglodytes,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Arthroleptinae,Arthroleptis tuberosus,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Arthroleptinae,Arthroleptis variabilis,12,DQ347003,FJ151091,AB612009,AY364180,AY341737,DQ284133,AY948817,AY948739,,,AY364210,AY322226,,AY948871,AY341756
Anura,Arthroleptidae,Arthroleptinae,Arthroleptis vercammeni,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Arthroleptinae,Arthroleptis wahlbergii,2,FJ151052,FJ151052,,,,,,,,,,,,,
Anura,Arthroleptidae,Arthroleptinae,Arthroleptis xenochirus,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Arthroleptinae,Arthroleptis xenodactyloides,6,FJ151103,FJ151103,KC180101,,,DQ284408,,,,,,DQ284030,,,DQ283023
Anura,Arthroleptidae,Arthroleptinae,Arthroleptis xenodactylus,2,FJ151157,FJ151156,,,,,,,,,,,,,
Anura,Arthroleptidae,Arthroleptinae,Arthroleptis zimmeri,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Arthroleptinae,Cardioglossa alsco,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Arthroleptinae,Cardioglossa cyaneospila,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Arthroleptinae,Cardioglossa elegans,2,FJ151072,FJ151072,,,,,,,,,,,,,
Anura,Arthroleptidae,Arthroleptinae,Cardioglossa escalerae,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Arthroleptinae,Cardioglossa gracilis,2,DQ022310,DQ022345,,,,,,,,,,,,,
Anura,Arthroleptidae,Arthroleptinae,Cardioglossa gratiosa,5,DQ283176,DQ283176,,,,DQ284213,,,,,,DQ283868,DQ282726,,
Anura,Arthroleptidae,Arthroleptinae,Cardioglossa leucomystax,7,FJ151122,AF124110,,,,DQ284132,,JX564856,JX564856,,,DQ283982,,,DQ282978
Anura,Arthroleptidae,Arthroleptinae,Cardioglossa manengouba,2,FJ151149,FJ151149,,,,,,,,,,,,,
Anura,Arthroleptidae,Arthroleptinae,Cardioglossa melanogaster,2,FJ151146,JQ711165,,,,,,,,,,,,,
Anura,Arthroleptidae,Arthroleptinae,Cardioglossa nigromaculata,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Arthroleptinae,Cardioglossa occidentalis,2,FJ151115,FJ151115,,,,,,,,,,,,,
Anura,Arthroleptidae,Arthroleptinae,Cardioglossa oreas,2,FJ151137,FJ151137,,,,,,,,,,,,,
Anura,Arthroleptidae,Arthroleptinae,Cardioglossa pulchra,2,FJ151135,FJ151134,,,,,,,,,,,,,
Anura,Arthroleptidae,Arthroleptinae,Cardioglossa schioetzi,2,FJ151136,FJ151136,,,,,,,,,,,,,
Anura,Arthroleptidae,Arthroleptinae,Cardioglossa trifasciata,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Arthroleptinae,Cardioglossa venusta,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Astylosterninae,Astylosternus batesi,2,FJ151071,FJ151071,,,,,,,,,,,,,
Anura,Arthroleptidae,Astylosterninae,Astylosternus diadematus,5,DQ022309,AY341691,,,AY341735,,,,,,,AY341810,,,AY341754
Anura,Arthroleptidae,Astylosterninae,Astylosternus fallax,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Astylosterninae,Astylosternus laticephalus,1,,JQ582774,,,,,,,,,,,,,
Anura,Arthroleptidae,Astylosterninae,Astylosternus laurenti,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Astylosterninae,Astylosternus montanus,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Astylosterninae,Astylosternus nganhanus,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Astylosterninae,Astylosternus occidentalis,1,,JQ582769,,,,,,,,,,,,,
Anura,Arthroleptidae,Astylosterninae,Astylosternus perreti,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Astylosterninae,Astylosternus ranoides,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Astylosterninae,Astylosternus rheophilus,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Astylosterninae,Astylosternus schioetzi,7,DQ283349,AF124108,,,AF215490,DQ284340,,,,,,DQ283976,DQ282826,,DQ282974
Anura,Arthroleptidae,Astylosterninae,Leptodactylodon albiventris,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Astylosterninae,Leptodactylodon axillaris,1,,KC540763,,,,,,,,,,,,,
Anura,Arthroleptidae,Astylosterninae,Leptodactylodon bicolor,5,DQ283364,DQ283364,,,,DQ284351,,,,,,DQ283986,,,DQ282980
Anura,Arthroleptidae,Astylosterninae,Leptodactylodon blanci,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Astylosterninae,Leptodactylodon boulengeri,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Astylosterninae,Leptodactylodon bueanus,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Astylosterninae,Leptodactylodon erythrogaster,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Astylosterninae,Leptodactylodon mertensi,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Astylosterninae,Leptodactylodon ornatus,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Astylosterninae,Leptodactylodon ovatus,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Astylosterninae,Leptodactylodon perreti,1,,KC540766,,,,,,,,,,,,,
Anura,Arthroleptidae,Astylosterninae,Leptodactylodon polyacanthus,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Astylosterninae,Leptodactylodon stevarti,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Astylosterninae,Leptodactylodon ventrimarmoratus,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Astylosterninae,Leptodactylodon wildi,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Astylosterninae,Nyctibates corrugatus,5,DQ022313,DQ022348,,,,DQ284349,,,,,,DQ283983,,,DQ282979
Anura,Arthroleptidae,Astylosterninae,Scotobleps gabonicus,6,DQ022315,DQ283367,,,KC152646,DQ284353,,,,,,DQ283988,DQ282834,,
Anura,Arthroleptidae,Astylosterninae,Trichobatrachus robustus,15,DQ347010,FJ151076,EF396035,AY364182,NC_023382,DQ284335,AB612025,NC_023382,NC_023382,AB777223,EF396109,AY322215,AY844954,AY948874,AY844192
Anura,Arthroleptidae,Leptopelinae,Leptopelis anchietae,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Leptopelinae,Leptopelis argenteus,4,U22075,DQ283226,,,,DQ284256,,,,,,DQ283903,,,
Anura,Arthroleptidae,Leptopelinae,Leptopelis aubryi,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Leptopelinae,Leptopelis aubryioides,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Leptopelinae,Leptopelis barbouri,3,,JX996027,,,KC006028,,,,,,KC005992,,,,
Anura,Arthroleptidae,Leptopelinae,Leptopelis bequaerti,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Leptopelinae,Leptopelis bocagii,3,DQ283418,DQ283418,,,,,,,,,,,,,DQ283014
Anura,Arthroleptidae,Leptopelinae,Leptopelis boulengeri,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Leptopelinae,Leptopelis brevipes,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Leptopelinae,Leptopelis brevirostris,1,,AY702652,,,,,,,,,,,,,
Anura,Arthroleptidae,Leptopelinae,Leptopelis broadleyi,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Leptopelinae,Leptopelis bufonides,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Leptopelinae,Leptopelis calcaratus,1,,JQ715684,,,,,,,,,,,,,
Anura,Arthroleptidae,Leptopelinae,Leptopelis christyi,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Leptopelinae,Leptopelis concolor,1,U22079,,,,,,,,,,,,,,
Anura,Arthroleptidae,Leptopelinae,Leptopelis crystallinoron,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Leptopelinae,Leptopelis cynnamomeus,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Leptopelinae,Leptopelis fenestratus,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Leptopelinae,Leptopelis fiziensis,2,,JX298073,,,KC006062,,,,,,,,,,
Anura,Arthroleptidae,Leptopelinae,Leptopelis flavomaculatus,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Leptopelinae,Leptopelis gramineus,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Leptopelinae,Leptopelis jordani,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Leptopelinae,Leptopelis karissimbensis,3,,HQ130762,HQ130754,,KC006054,,,,,,,,,,
Anura,Arthroleptidae,Leptopelinae,Leptopelis kivuensis,11,DQ347005,FJ151060,HQ130755,AY364181,KC006035,,AY523717,AY523772,,,AY364211,AY322214,,AY948872,AY322335
Anura,Arthroleptidae,Leptopelinae,Leptopelis lebeaui,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Leptopelinae,Leptopelis mackayi,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Leptopelinae,Leptopelis macrotis,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Leptopelinae,Leptopelis marginatus,0,,,,,,,,,,,,,,,
