"","Taxon","Family","Subfamily","Clade","Tree.Genus","Constraint","Scientific.Name","Genes","Length"
"Gonocephalus_kuhlii","Sauria","Agamidae","Draconinae","Draconinae","Gonocephalus","Gonocephalus","Gonocephalus kuhlii",2,1614
"Gonocephalus_lacunosus","Sauria","Agamidae","Draconinae","Draconinae","Gonocephalus","Gonocephalus","Gonocephalus lacunosus",NA,NA
"Gonocephalus_liogaster","Sauria","Agamidae","Draconinae","Draconinae","Gonocephalus","Gonocephalus","Gonocephalus liogaster",NA,NA
"Gonocephalus_megalepis","Sauria","Agamidae","Draconinae","Draconinae","Gonocephalus","Gonocephalus","Gonocephalus megalepis",NA,NA
"Gonocephalus_mjobergi","Sauria","Agamidae","Draconinae","Draconinae","Gonocephalus","Gonocephalus","Gonocephalus mjobergi",NA,NA
"Gonocephalus_semperi","Sauria","Agamidae","Draconinae","Draconinae","Gonocephalus","Gonocephalus","Gonocephalus semperi",NA,NA
"Gonocephalus_sophiae","Sauria","Agamidae","Draconinae","Draconinae","Gonocephalus","Gonocephalus","Gonocephalus sophiae",NA,NA
"Gonocephalus_robinsonii","Sauria","Agamidae","Draconinae","Draconinae","Gonocephalus_1","Gonocephalus","Gonocephalus robinsonii",2,747
"Harpesaurus_beccarii","Sauria","Agamidae","Draconinae","Draconinae","Harpesaurus","Harpesaurus","Harpesaurus beccarii",NA,NA
"Harpesaurus_borneensis","Sauria","Agamidae","Draconinae","Draconinae","Harpesaurus","Harpesaurus","Harpesaurus borneensis",NA,NA
"Harpesaurus_ensicauda","Sauria","Agamidae","Draconinae","Draconinae","Harpesaurus","Harpesaurus","Harpesaurus ensicauda",NA,NA
"Harpesaurus_modiglianii","Sauria","Agamidae","Draconinae","Draconinae","Harpesaurus","Harpesaurus","Harpesaurus modiglianii",NA,NA
"Harpesaurus_tricinctus","Sauria","Agamidae","Draconinae","Draconinae","Harpesaurus","Harpesaurus","Harpesaurus tricinctus",NA,NA
"Hypsicalotes_kinabaluensis","Sauria","Agamidae","Draconinae","Draconinae","Hypsicalotes","Hypsicalotes","Hypsicalotes kinabaluensis",NA,NA
"Japalura_andersoniana","Sauria","Agamidae","Draconinae","Draconinae","Japalura","Japalura","Japalura andersoniana",NA,NA
"Japalura_batangensis","Sauria","Agamidae","Draconinae","Draconinae","Japalura","Japalura","Japalura batangensis",NA,NA
"Japalura_brevicauda","Sauria","Agamidae","Draconinae","Draconinae","Japalura","Japalura","Japalura brevicauda",NA,NA
"Japalura_brevipes","Sauria","Agamidae","Draconinae","Draconinae","Japalura","Japalura","Japalura brevipes",NA,NA
"Japalura_chapaensis","Sauria","Agamidae","Draconinae","Draconinae","Japalura","Japalura","Japalura chapaensis",NA,NA
"Japalura_dymondi","Sauria","Agamidae","Draconinae","Draconinae","Japalura","Japalura","Japalura dymondi",NA,NA
"Japalura_fasciata","Sauria","Agamidae","Draconinae","Draconinae","Japalura","Japalura","Japalura fasciata",NA,NA
"Japalura_flaviceps","Sauria","Agamidae","Draconinae","Draconinae","Japalura","Japalura","Japalura flaviceps",2,1080
"Japalura_grahami","Sauria","Agamidae","Draconinae","Draconinae","Japalura","Japalura","Japalura grahami",NA,NA
"Japalura_hamptoni","Sauria","Agamidae","Draconinae","Draconinae","Japalura","Japalura","Japalura hamptoni",NA,NA
"Japalura_luei","Sauria","Agamidae","Draconinae","Draconinae","Japalura","Japalura","Japalura luei",NA,NA
"Japalura_makii","Sauria","Agamidae","Draconinae","Draconinae","Japalura","Japalura","Japalura makii",NA,NA
"Japalura_micangshanensis","Sauria","Agamidae","Draconinae","Draconinae","Japalura","Japalura","Japalura micangshanensis",NA,NA
"Japalura_otai","Sauria","Agamidae","Draconinae","Draconinae","Japalura","Japalura","Japalura otai",NA,NA
"Japalura_planidorsata","Sauria","Agamidae","Draconinae","Draconinae","Japalura","Japalura","Japalura planidorsata",NA,NA
"Japalura_polygonata","Sauria","Agamidae","Draconinae","Draconinae","Japalura","Japalura","Japalura polygonata",NA,NA
"Japalura_sagittifera","Sauria","Agamidae","Draconinae","Draconinae","Japalura","Japalura","Japalura sagittifera",NA,NA
"Japalura_splendida","Sauria","Agamidae","Draconinae","Draconinae","Japalura","Japalura","Japalura splendida",3,1794
"Japalura_swinhonis","Sauria","Agamidae","Draconinae","Draconinae","Japalura","Japalura","Japalura swinhonis",NA,NA
"Japalura_varcoae","Sauria","Agamidae","Draconinae","Draconinae","Japalura","Japalura","Japalura varcoae",NA,NA
"Japalura_yulongensis","Sauria","Agamidae","Draconinae","Draconinae","Japalura","Japalura","Japalura yulongensis",NA,NA
"Japalura_yunnanensis","Sauria","Agamidae","Draconinae","Draconinae","Japalura","Japalura","Japalura yunnanensis",NA,NA
"Japalura_zhaoermii","Sauria","Agamidae","Draconinae","Draconinae","Japalura","Japalura","Japalura zhaoermii",NA,NA
"Japalura_dasi","Sauria","Agamidae","Draconinae","Draconinae","Japalura_1","Japalura","Japalura dasi",NA,NA
"Japalura_kumaonensis","Sauria","Agamidae","Draconinae","Draconinae","Japalura_1","Japalura","Japalura kumaonensis",NA,NA
"Japalura_major","Sauria","Agamidae","Draconinae","Draconinae","Japalura_1","Japalura","Japalura major",NA,NA
"Japalura_tricarinata","Sauria","Agamidae","Draconinae","Draconinae","Japalura_1","Japalura","Japalura tricarinata",3,3921
"Japalura_variegata","Sauria","Agamidae","Draconinae","Draconinae","Japalura_1","Japalura","Japalura variegata",2,1083
"Lophocalotes_ludekingi","Sauria","Agamidae","Draconinae","Draconinae","Lophocalotes","Lophocalotes","Lophocalotes ludekingi",NA,NA
"Lyriocephalus_scutatus","Sauria","Agamidae","Draconinae","Draconinae","Lyriocephalus","Lyriocephalus","Lyriocephalus scutatus",2,1083
"Mantheyus_phuwuanensis","Sauria","Agamidae","Draconinae","Draconinae","Mantheyus","Mantheyus","Mantheyus phuwuanensis",5,4663
"Oriocalotes_paulus","Sauria","Agamidae","Draconinae","Draconinae","Oriocalotes","Oriocalotes","Oriocalotes paulus",NA,NA
"Otocryptis_beddomei","Sauria","Agamidae","Draconinae","Draconinae","Otocryptis","Otocryptis","Otocryptis beddomei",NA,NA
"Otocryptis_nigristigma","Sauria","Agamidae","Draconinae","Draconinae","Otocryptis","Otocryptis","Otocryptis nigristigma",NA,NA
"Otocryptis_wiegmanni","Sauria","Agamidae","Draconinae","Draconinae","Otocryptis","Otocryptis","Otocryptis wiegmanni",2,1074
"Phoxophrys_borneensis","Sauria","Agamidae","Draconinae","Draconinae","Phoxophrys","Phoxophrys","Phoxophrys borneensis",NA,NA
"Phoxophrys_cephalum","Sauria","Agamidae","Draconinae","Draconinae","Phoxophrys","Phoxophrys","Phoxophrys cephalum",NA,NA
"Phoxophrys_nigrilabris","Sauria","Agamidae","Draconinae","Draconinae","Phoxophrys","Phoxophrys","Phoxophrys nigrilabris",2,762
"Phoxophrys_spiniceps","Sauria","Agamidae","Draconinae","Draconinae","Phoxophrys","Phoxophrys","Phoxophrys spiniceps",NA,NA
"Phoxophrys_tuberculata","Sauria","Agamidae","Draconinae","Draconinae","Phoxophrys","Phoxophrys","Phoxophrys tuberculata",NA,NA
"Psammophilus_blanfordanus","Sauria","Agamidae","Draconinae","Draconinae","Psammophilus","Psammophilus","Psammophilus blanfordanus",NA,NA
"Psammophilus_dorsalis","Sauria","Agamidae","Draconinae","Draconinae","Psammophilus","Psammophilus","Psammophilus dorsalis",NA,NA
"Pseudocalotes_andamanensis","Sauria","Agamidae","Draconinae","Draconinae","Pseudocalotes","Pseudocalotes","Pseudocalotes andamanensis",NA,NA
"Pseudocalotes_austeniana","Sauria","Agamidae","Draconinae","Draconinae","Pseudocalotes","Pseudocalotes","Pseudocalotes austeniana",NA,NA
"Pseudocalotes_brevipes","Sauria","Agamidae","Draconinae","Draconinae","Pseudocalotes","Pseudocalotes","Pseudocalotes brevipes",3,1977
"Pseudocalotes_cybelidermus","Sauria","Agamidae","Draconinae","Draconinae","Pseudocalotes","Pseudocalotes","Pseudocalotes cybelidermus",NA,NA
"Pseudocalotes_dringi","Sauria","Agamidae","Draconinae","Draconinae","Pseudocalotes","Pseudocalotes","Pseudocalotes dringi",NA,NA
"Pseudocalotes_flavigula","Sauria","Agamidae","Draconinae","Draconinae","Pseudocalotes","Pseudocalotes","Pseudocalotes flavigula",2,1077
"Pseudocalotes_floweri","Sauria","Agamidae","Draconinae","Draconinae","Pseudocalotes","Pseudocalotes","Pseudocalotes floweri",NA,NA
"Pseudocalotes_guttalineatus","Sauria","Agamidae","Draconinae","Draconinae","Pseudocalotes","Pseudocalotes","Pseudocalotes guttalineatus",NA,NA
"Pseudocalotes_kakhienensis","Sauria","Agamidae","Draconinae","Draconinae","Pseudocalotes","Pseudocalotes","Pseudocalotes kakhienensis",2,1080
"Pseudocalotes_khaonanensis","Sauria","Agamidae","Draconinae","Draconinae","Pseudocalotes","Pseudocalotes","Pseudocalotes khaonanensis",NA,NA
"Pseudocalotes_kingdonwardi","Sauria","Agamidae","Draconinae","Draconinae","Pseudocalotes","Pseudocalotes","Pseudocalotes kingdonwardi",NA,NA
"Pseudocalotes_larutensis","Sauria","Agamidae","Draconinae","Draconinae","Pseudocalotes","Pseudocalotes","Pseudocalotes larutensis",NA,NA
"Pseudocalotes_microlepis","Sauria","Agamidae","Draconinae","Draconinae","Pseudocalotes","Pseudocalotes","Pseudocalotes microlepis",NA,NA
"Pseudocalotes_poilani","Sauria","Agamidae","Draconinae","Draconinae","Pseudocalotes","Pseudocalotes","Pseudocalotes poilani",NA,NA
"Pseudocalotes_rhammanotus","Sauria","Agamidae","Draconinae","Draconinae","Pseudocalotes","Pseudocalotes","Pseudocalotes rhammanotus",NA,NA
"Pseudocalotes_saravacensis","Sauria","Agamidae","Draconinae","Draconinae","Pseudocalotes","Pseudocalotes","Pseudocalotes saravacensis",NA,NA
"Pseudocalotes_tympanistriga","Sauria","Agamidae","Draconinae","Draconinae","Pseudocalotes","Pseudocalotes","Pseudocalotes tympanistriga",NA,NA
"Pseudocalotes_ziegleri","Sauria","Agamidae","Draconinae","Draconinae","Pseudocalotes","Pseudocalotes","Pseudocalotes ziegleri",NA,NA
"Pseudocophotis_kontumensis","Sauria","Agamidae","Draconinae","Draconinae","Pseudocophotis","Pseudocophotis","Pseudocophotis kontumensis",NA,NA
"Pseudocophotis_sumatrana","Sauria","Agamidae","Draconinae","Draconinae","Pseudocophotis","Pseudocophotis","Pseudocophotis sumatrana",NA,NA
"Ptyctolaemus_collicristatus","Sauria","Agamidae","Draconinae","Draconinae","Ptyctolaemus","Ptyctolaemus","Ptyctolaemus collicristatus",2,1083
"Ptyctolaemus_gularis","Sauria","Agamidae","Draconinae","Draconinae","Ptyctolaemus","Ptyctolaemus","Ptyctolaemus gularis",2,1080
"Salea_anamallayana","Sauria","Agamidae","Draconinae","Draconinae","Salea","Salea","Salea anamallayana",NA,NA
"Salea_gularis","Sauria","Agamidae","Draconinae","Draconinae","Salea","Salea","Salea gularis",NA,NA
"Salea_horsfieldii","Sauria","Agamidae","Draconinae","Draconinae","Salea","Salea","Salea horsfieldii",2,1083
"Sitana_fusca","Sauria","Agamidae","Draconinae","Draconinae","Sitana","Sitana","Sitana fusca",NA,NA
"Sitana_ponticeriana","Sauria","Agamidae","Draconinae","Draconinae","Sitana","Sitana","Sitana ponticeriana",2,1080
"Sitana_schleichi","Sauria","Agamidae","Draconinae","Draconinae","Sitana","Sitana","Sitana schleichi",NA,NA
"Sitana_sivalensis","Sauria","Agamidae","Draconinae","Draconinae","Sitana","Sitana","Sitana sivalensis",NA,NA
"Thaumatorhynchus_brooksi","Sauria","Agamidae","Draconinae","Draconinae","Thaumatorhynchus","Thaumatorhynchus","Thaumatorhynchus brooksi",NA,NA
"Hydrosaurus_amboinensis","Sauria","Agamidae","Hydrosaurinae","Hydrosaurinae_1","Hydrosaurus","Hydrosaurus","Hydrosaurus amboinensis",7,8111
"Hydrosaurus_pustulatus","Sauria","Agamidae","Hydrosaurinae","Hydrosaurinae_2","Hydrosaurus","Hydrosaurus","Hydrosaurus pustulatus",2,1576
"Hydrosaurus_weberi","Sauria","Agamidae","Hydrosaurinae","Hydrosaurinae_3","Hydrosaurus","Hydrosaurus","Hydrosaurus weberi",3,1861
"Leiolepis_belliana","Sauria","Agamidae","Leiolepidinae","Leiolepidinae","Leiolepis","Leiolepis","Leiolepis belliana",13,11022
"Leiolepis_boehmei","Sauria","Agamidae","Leiolepidinae","Leiolepidinae","Leiolepis","Leiolepis","Leiolepis boehmei",9,9228
"Leiolepis_guentherpetersi","Sauria","Agamidae","Leiolepidinae","Leiolepidinae","Leiolepis","Leiolepis","Leiolepis guentherpetersi",5,3216
"Leiolepis_guttata","Sauria","Agamidae","Leiolepidinae","Leiolepidinae","Leiolepis","Leiolepis","Leiolepis guttata",7,8170
"Leiolepis_ngovantrii","Sauria","Agamidae","Leiolepidinae","Leiolepidinae","Leiolepis","Leiolepis","Leiolepis ngovantrii",NA,NA
"Leiolepis_peguensis","Sauria","Agamidae","Leiolepidinae","Leiolepidinae","Leiolepis","Leiolepis","Leiolepis peguensis",NA,NA
"Leiolepis_reevesii","Sauria","Agamidae","Leiolepidinae","Leiolepidinae","Leiolepis","Leiolepis","Leiolepis reevesii",9,9620
"Leiolepis_rubritaeniata","Sauria","Agamidae","Leiolepidinae","Leiolepidinae","Leiolepis","Leiolepis","Leiolepis rubritaeniata",NA,NA
"Leiolepis_triploida","Sauria","Agamidae","Leiolepidinae","Leiolepidinae","Leiolepis","Leiolepis","Leiolepis triploida",NA,NA
"Saara_asmussi","Sauria","Agamidae","Uromasticinae","Uromasticinae","Saara","Saara","Saara asmussi",1,530
"Saara_hardwickii","Sauria","Agamidae","Uromasticinae","Uromasticinae","Saara","Saara","Saara hardwickii",9,6299
"Saara_loricata","Sauria","Agamidae","Uromasticinae","Uromasticinae","Saara","Saara","Saara loricata",1,539
"Uromastyx_acanthinura","Sauria","Agamidae","Uromasticinae","Uromasticinae","Uromastyx","Uromastyx","Uromastyx acanthinura",9,7289
"Uromastyx_aegyptia","Sauria","Agamidae","Uromasticinae","Uromasticinae","Uromastyx","Uromastyx","Uromastyx aegyptia",6,4067
"Uromastyx_alfredschmidti","Sauria","Agamidae","Uromasticinae","Uromasticinae","Uromastyx","Uromastyx","Uromastyx alfredschmidti",NA,NA
"Uromastyx_benti","Sauria","Agamidae","Uromasticinae","Uromasticinae","Uromastyx","Uromastyx","Uromastyx benti",8,10987
"Uromastyx_dispar","Sauria","Agamidae","Uromasticinae","Uromasticinae","Uromastyx","Uromastyx","Uromastyx dispar",4,2567
"Uromastyx_geyri","Sauria","Agamidae","Uromasticinae","Uromasticinae","Uromastyx","Uromastyx","Uromastyx geyri",4,2774
"Uromastyx_macfadyeni","Sauria","Agamidae","Uromasticinae","Uromasticinae","Uromastyx","Uromastyx","Uromastyx macfadyeni",3,2145
"Uromastyx_nigriventris","Sauria","Agamidae","Uromasticinae","Uromasticinae","Uromastyx","Uromastyx","Uromastyx nigriventris",2,946
"Uromastyx_occidentalis","Sauria","Agamidae","Uromasticinae","Uromasticinae","Uromastyx","Uromastyx","Uromastyx occidentalis",NA,NA
"Uromastyx_ocellata","Sauria","Agamidae","Uromasticinae","Uromasticinae","Uromastyx","Uromastyx","Uromastyx ocellata",3,2151
"Uromastyx_ornata","Sauria","Agamidae","Uromasticinae","Uromasticinae","Uromastyx","Uromastyx","Uromastyx ornata",4,2575
"Uromastyx_princeps","Sauria","Agamidae","Uromasticinae","Uromasticinae","Uromastyx","Uromastyx","Uromastyx princeps",1,528
"Uromastyx_shobraki","Sauria","Agamidae","Uromasticinae","Uromasticinae","Uromastyx","Uromastyx","Uromastyx shobraki",1,523
"Uromastyx_thomasi","Sauria","Agamidae","Uromasticinae","Uromasticinae","Uromastyx","Uromastyx","Uromastyx thomasi",1,522
"Uromastyx_yemenensis","Sauria","Agamidae","Uromasticinae","Uromasticinae","Uromastyx","Uromastyx","Uromastyx yemenensis",1,523
"Anguis_cephallonica","Sauria","Anguidae","Anguinae","Anguinae","Anguis","Anguis","Anguis cephallonica",3,2115
"Anguis_colchica","Sauria","Anguidae","Anguinae","Anguinae","Anguis","Anguis","Anguis colchica",4,2901
"Anguis_fragilis","Sauria","Anguidae","Anguinae","Anguinae","Anguis","Anguis","Anguis fragilis",13,11437
"Anguis_graeca","Sauria","Anguidae","Anguinae","Anguinae","Anguis","Anguis","Anguis graeca",3,2115
"Anguis_incomptus","Sauria","Anguidae","Anguinae","Anguinae","Anguis","Anguis","Anguis incomptus",NA,NA
"Anguis_veronensis","Sauria","Anguidae","Anguinae","Anguinae","Anguis","Anguis","Anguis veronensis",3,2115
"Dopasia_buettikoferi","Sauria","Anguidae","Anguinae","Anguinae","Dopasia","Dopasia","Dopasia buettikoferi",NA,NA
"Dopasia_gracilis","Sauria","Anguidae","Anguinae","Anguinae","Dopasia","Dopasia","Dopasia gracilis",4,3628
"Dopasia_hainanensis","Sauria","Anguidae","Anguinae","Anguinae","Dopasia","Dopasia","Dopasia hainanensis",NA,NA
"Dopasia_harti","Sauria","Anguidae","Anguinae","Anguinae","Dopasia","Dopasia","Dopasia harti",7,7643
"Dopasia_ludovici","Sauria","Anguidae","Anguinae","Anguinae","Dopasia","Dopasia","Dopasia ludovici",NA,NA
"Dopasia_sokolovi","Sauria","Anguidae","Anguinae","Anguinae","Dopasia","Dopasia","Dopasia sokolovi",NA,NA
"Dopasia_wegneri","Sauria","Anguidae","Anguinae","Anguinae","Dopasia","Dopasia","Dopasia wegneri",NA,NA
"Ophisaurus_attenuatus","Sauria","Anguidae","Anguinae","Anguinae","Ophisaurus","Ophisaurus","Ophisaurus attenuatus",7,8451
"Ophisaurus_ceroni","Sauria","Anguidae","Anguinae","Anguinae","Ophisaurus","Ophisaurus","Ophisaurus ceroni",NA,NA
"Ophisaurus_compressus","Sauria","Anguidae","Anguinae","Anguinae","Ophisaurus","Ophisaurus","Ophisaurus compressus",NA,NA
"Ophisaurus_koellikeri","Sauria","Anguidae","Anguinae","Anguinae","Ophisaurus","Ophisaurus","Ophisaurus koellikeri",3,1422
"Ophisaurus_mimicus","Sauria","Anguidae","Anguinae","Anguinae","Ophisaurus","Ophisaurus","Ophisaurus mimicus",NA,NA
"Ophisaurus_ventralis","Sauria","Anguidae","Anguinae","Anguinae","Ophisaurus","Ophisaurus","Ophisaurus ventralis",3,1617
"Pseudopus_apodus","Sauria","Anguidae","Anguinae","Anguinae","Pseudopus","Pseudopus","Pseudopus apodus",11,7735
"Celestus_adercus","Sauria","Anguidae","Diploglossinae","Diploglossinae","Celestus_CA","Celestus","Celestus adercus",NA,NA
"Celestus_bivittatus","Sauria","Anguidae","Diploglossinae","Diploglossinae","Celestus_CA","Celestus","Celestus bivittatus",NA,NA
"Celestus_cyanochloris","Sauria","Anguidae","Diploglossinae","Diploglossinae","Celestus_CA","Celestus","Celestus cyanochloris",NA,NA
"Celestus_enneagrammus","Sauria","Anguidae","Diploglossinae","Diploglossinae","Celestus_CA","Celestus","Celestus enneagrammus",8,7068
"Celestus_hylaius","Sauria","Anguidae","Diploglossinae","Diploglossinae","Celestus_CA","Celestus","Celestus hylaius",NA,NA
"Celestus_montanus","Sauria","Anguidae","Diploglossinae","Diploglossinae","Celestus_CA","Celestus","Celestus montanus",NA,NA
"Celestus_orobius","Sauria","Anguidae","Diploglossinae","Diploglossinae","Celestus_CA","Celestus","Celestus orobius",NA,NA
"Celestus_rozellae","Sauria","Anguidae","Diploglossinae","Diploglossinae","Celestus_CA","Celestus","Celestus rozellae",NA,NA
"Celestus_scansorius","Sauria","Anguidae","Diploglossinae","Diploglossinae","Celestus_CA","Celestus","Celestus scansorius",NA,NA
"Celestus_agasepsoides","Sauria","Anguidae","Diploglossinae","Diploglossinae","Celestus_WI","Celestus","Celestus agasepsoides",2,1395
"Celestus_anelpistus","Sauria","Anguidae","Diploglossinae","Diploglossinae","Celestus_WI","Celestus","Celestus anelpistus",NA,NA
"Celestus_badius","Sauria","Anguidae","Diploglossinae","Diploglossinae","Celestus_WI","Celestus","Celestus badius",NA,NA
"Celestus_barbouri","Sauria","Anguidae","Diploglossinae","Diploglossinae","Celestus_WI","Celestus","Celestus barbouri",NA,NA
"Celestus_carraui","Sauria","Anguidae","Diploglossinae","Diploglossinae","Celestus_WI","Celestus","Celestus carraui",NA,NA
"Celestus_costatus","Sauria","Anguidae","Diploglossinae","Diploglossinae","Celestus_WI","Celestus","Celestus costatus",NA,NA
"Celestus_crusculus","Sauria","Anguidae","Diploglossinae","Diploglossinae","Celestus_WI","Celestus","Celestus crusculus",NA,NA
"Celestus_curtissi","Sauria","Anguidae","Diploglossinae","Diploglossinae","Celestus_WI","Celestus","Celestus curtissi",NA,NA
"Celestus_darlingtoni","Sauria","Anguidae","Diploglossinae","Diploglossinae","Celestus_WI","Celestus","Celestus darlingtoni",NA,NA
"Celestus_duquesneyi","Sauria","Anguidae","Diploglossinae","Diploglossinae","Celestus_WI","Celestus","Celestus duquesneyi",NA,NA
"Celestus_fowleri","Sauria","Anguidae","Diploglossinae","Diploglossinae","Celestus_WI","Celestus","Celestus fowleri",NA,NA
"Celestus_haetianus","Sauria","Anguidae","Diploglossinae","Diploglossinae","Celestus_WI","Celestus","Celestus haetianus",2,1395
"Celestus_hewardi","Sauria","Anguidae","Diploglossinae","Diploglossinae","Celestus_WI","Celestus","Celestus hewardi",NA,NA
"Celestus_macrotus","Sauria","Anguidae","Diploglossinae","Diploglossinae","Celestus_WI","Celestus","Celestus macrotus",NA,NA
"Celestus_marcanoi","Sauria","Anguidae","Diploglossinae","Diploglossinae","Celestus_WI","Celestus","Celestus marcanoi",NA,NA
"Celestus_microblepharis","Sauria","Anguidae","Diploglossinae","Diploglossinae","Celestus_WI","Celestus","Celestus microblepharis",NA,NA
"Celestus_occiduus","Sauria","Anguidae","Diploglossinae","Diploglossinae","Celestus_WI","Celestus","Celestus occiduus",NA,NA
"Celestus_sepsoides","Sauria","Anguidae","Diploglossinae","Diploglossinae","Celestus_WI","Celestus","Celestus sepsoides",NA,NA
"Celestus_stenurus","Sauria","Anguidae","Diploglossinae","Diploglossinae","Celestus_WI","Celestus","Celestus stenurus",NA,NA
"Celestus_warreni","Sauria","Anguidae","Diploglossinae","Diploglossinae","Celestus_WI","Celestus","Celestus warreni",NA,NA
"Diploglossus_atitlanensis","Sauria","Anguidae","Diploglossinae","Diploglossinae","Diploglossus_CA","Diploglossus","Diploglossus atitlanensis",NA,NA
"Diploglossus_bilobatus","Sauria","Anguidae","Diploglossinae","Diploglossinae","Diploglossus_CA","Diploglossus","Diploglossus bilobatus",2,1395
"Diploglossus_fasciatus","Sauria","Anguidae","Diploglossinae","Diploglossinae","Diploglossus_CA","Diploglossus","Diploglossus fasciatus",NA,NA
"Diploglossus_ingridae","Sauria","Anguidae","Diploglossinae","Diploglossinae","Diploglossus_CA","Diploglossus","Diploglossus ingridae",NA,NA
"Diploglossus_legnotus","Sauria","Anguidae","Diploglossinae","Diploglossinae","Diploglossus_CA","Diploglossus","Diploglossus legnotus",NA,NA
"Diploglossus_lessonae","Sauria","Anguidae","Diploglossinae","Diploglossinae","Diploglossus_CA","Diploglossus","Diploglossus lessonae",NA,NA
"Diploglossus_microcephalus","Sauria","Anguidae","Diploglossinae","Diploglossinae","Diploglossus_CA","Diploglossus","Diploglossus microcephalus",NA,NA
"Diploglossus_microlepis","Sauria","Anguidae","Diploglossinae","Diploglossinae","Diploglossus_CA","Diploglossus","Diploglossus microlepis",NA,NA
"Diploglossus_millepunctatus","Sauria","Anguidae","Diploglossinae","Diploglossinae","Diploglossus_CA","Diploglossus","Diploglossus millepunctatus",NA,NA
"Diploglossus_monotropis","Sauria","Anguidae","Diploglossinae","Diploglossinae","Diploglossus_CA","Diploglossus","Diploglossus monotropis",NA,NA
"Diploglossus_montisilvestris","Sauria","Anguidae","Diploglossinae","Diploglossinae","Diploglossus_CA","Diploglossus","Diploglossus montisilvestris",NA,NA
"Diploglossus_owenii","Sauria","Anguidae","Diploglossinae","Diploglossinae","Diploglossus_CA","Diploglossus","Diploglossus owenii",NA,NA
"Diploglossus_delasagra","Sauria","Anguidae","Diploglossinae","Diploglossinae","Diploglossus_WI","Diploglossus","Diploglossus delasagra",NA,NA
"Diploglossus_garridoi","Sauria","Anguidae","Diploglossinae","Diploglossinae","Diploglossus_WI","Diploglossus","Diploglossus garridoi",NA,NA
"Diploglossus_montisserrati","Sauria","Anguidae","Diploglossinae","Diploglossinae","Diploglossus_WI","Diploglossus","Diploglossus montisserrati",NA,NA
"Diploglossus_nigropunctatus","Sauria","Anguidae","Diploglossinae","Diploglossinae","Diploglossus_WI","Diploglossus","Diploglossus nigropunctatus",NA,NA
"Diploglossus_pleii","Sauria","Anguidae","Diploglossinae","Diploglossinae","Diploglossus_WI","Diploglossus","Diploglossus pleii",2,1395
"Ophiodes_fragilis","Sauria","Anguidae","Diploglossinae","Diploglossinae","Ophiodes","Ophiodes","Ophiodes fragilis",NA,NA
"Ophiodes_intermedius","Sauria","Anguidae","Diploglossinae","Diploglossinae","Ophiodes","Ophiodes","Ophiodes intermedius",NA,NA
"Ophiodes_striatus","Sauria","Anguidae","Diploglossinae","Diploglossinae","Ophiodes","Ophiodes","Ophiodes striatus",2,1395
"Ophiodes_vertebralis","Sauria","Anguidae","Diploglossinae","Diploglossinae","Ophiodes","Ophiodes","Ophiodes vertebralis",NA,NA
"Ophiodes_yacupoi","Sauria","Anguidae","Diploglossinae","Diploglossinae","Ophiodes","Ophiodes","Ophiodes yacupoi",NA,NA
"Abronia_anzuetoi","Sauria","Anguidae","Gerrhonotinae","Gerrhonotinae","Abronia","Abronia","Abronia anzuetoi",2,728
"Abronia_aurita","Sauria","Anguidae","Gerrhonotinae","Gerrhonotinae","Abronia","Abronia","Abronia aurita",2,730
"Abronia_bogerti","Sauria","Anguidae","Gerrhonotinae","Gerrhonotinae","Abronia","Abronia","Abronia bogerti",NA,NA
"Abronia_campbelli","Sauria","Anguidae","Gerrhonotinae","Gerrhonotinae","Abronia","Abronia","Abronia campbelli",2,695
"Abronia_chiszari","Sauria","Anguidae","Gerrhonotinae","Gerrhonotinae","Abronia","Abronia","Abronia chiszari",1,696
"Abronia_deppii","Sauria","Anguidae","Gerrhonotinae","Gerrhonotinae","Abronia","Abronia","Abronia deppii",NA,NA
"Abronia_fimbriata","Sauria","Anguidae","Gerrhonotinae","Gerrhonotinae","Abronia","Abronia","Abronia fimbriata",2,721
"Abronia_frosti","Sauria","Anguidae","Gerrhonotinae","Gerrhonotinae","Abronia","Abronia","Abronia frosti",2,738
"Abronia_fuscolabialis","Sauria","Anguidae","Gerrhonotinae","Gerrhonotinae","Abronia","Abronia","Abronia fuscolabialis",NA,NA
"Abronia_gaiophantasma","Sauria","Anguidae","Gerrhonotinae","Gerrhonotinae","Abronia","Abronia","Abronia gaiophantasma",NA,NA
"Abronia_graminea","Sauria","Anguidae","Gerrhonotinae","Gerrhonotinae","Abronia","Abronia","Abronia graminea",10,8911
"Abronia_leurolepis","Sauria","Anguidae","Gerrhonotinae","Gerrhonotinae","Abronia","Abronia","Abronia leurolepis",NA,NA
"Abronia_lythrochila","Sauria","Anguidae","Gerrhonotinae","Gerrhonotinae","Abronia","Abronia","Abronia lythrochila",2,692
"Abronia_martindelcampoi","Sauria","Anguidae","Gerrhonotinae","Gerrhonotinae","Abronia","Abronia","Abronia martindelcampoi",NA,NA
"Abronia_matudai","Sauria","Anguidae","Gerrhonotinae","Gerrhonotinae","Abronia","Abronia","Abronia matudai",2,723
"Abronia_meledona","Sauria","Anguidae","Gerrhonotinae","Gerrhonotinae","Abronia","Abronia","Abronia meledona",NA,NA
