"","X12S","X16S","AMEL","BDNF","BMP2","CMOS","COI","CYTB","ND1","ND2","ND4","NT3","PDC","PRLR","R35","RAG1","RAG2"
"Phyllurus_ossa","","","","","","","","","","","","","","","","",""
"Phyllurus_platurus","","","","","","AY172941","","","","JX024357","","","HQ426226","","","FJ855443","HQ426488"
"Phymaturus_aguanegra","","","","","","","","","","","","","","","","",""
"Phymaturus_aguedae","","","","","","","","","","","","","","","","",""
"Phymaturus_alicahuense","","","","","","","","","","","","","","","","",""
"Phymaturus_antofagastensis","","","","","","","","","AY661892","AY661892","","","","","","",""
"Phymaturus_bibronii","","","","","","","","","","","","","","","","",""
"Phymaturus_calcogaster","JX969081","","","","","JX969535","","JX969030","","","","JX969565","","","","",""
"Phymaturus_camilae","","","","","","","","","","","","","","","","",""
"Phymaturus_castillensis","","","","","","","","","","","","","","","","",""
"Phymaturus_ceii","JX969082","","","","","JX969536","","JX969031","","","","JX969566","","","","",""
"Phymaturus_damasense","","","","","","","","","","","","","","","","",""
"Phymaturus_darwini","","","","","","","","","","","","","","","","",""
"Phymaturus_delheyi","JX969098","","","","","JX969551","","JX969047","","","","JX969582","","","","",""
"Phymaturus_denotatus","","","","","","","","","","","","","","","","",""
"Phymaturus_desuetus","","","","","","","","","","","","","","","","",""
"Phymaturus_etheridgei","JX969080","","","","","JX969534","","JX969029","","","","JX969564","","","","",""
"Phymaturus_excelsus","JX969083","","","","","JX969537","","JX969032","","","","JX969567","","","","",""
"Phymaturus_extrilidus","JX969070","","","","","JX969527","","JX969019","","","","JX969605","","","","",""
"Phymaturus_felixi","JX969095","","","","","JX969549","","JX969044","","","","JX969579","","","","",""
"Phymaturus_indistinctus","AY367823","","","","","AY367880","","JX969033","AY661893","AY661893","AY367851","JX969568","","","","",""
"Phymaturus_laurenti","JX969060","","","","","JX969517","","JX969009","","","","JX969595","","","","",""
"Phymaturus_mallimaccii","JX969062","","","","","JX969519","","JX969011","AF305785","AF305785","","JX969597","","","","",""
"Phymaturus_manuelae","JX969085","","","","","JX969539","","JX969034","","","","JX969569","","","","",""
"Phymaturus_maulense","","","","","","","","","","","","","","","","",""
"Phymaturus_nevadoi","JX969086","","","","","JX969540","","JX969035","","","","JX969570","","","","",""
"Phymaturus_palluma","AY662050","","","JF806024","JF806065","JX969520","","","AF099216","AF099216","","JX969598","","JN880865","JF804598","JF806209",""
"Phymaturus_patagonicus","JX969087","","","","","JX969541","","JX969036","AY661894","AY661894","","JX969571","","JF272912","","",""
"Phymaturus_payuniae","JX969088","","","","","JX969542","","JX969037","","","","JX969572","","","","",""
"Phymaturus_punae","JX969064","","","","","JX969521","","JX969013","AF305786","AF305786","","JX969599","","","","",""
"Phymaturus_querque","JX969069","","","","","JX969526","","JX969018","","","","JX969604","","","","",""
"Phymaturus_roigorum","JX969065","","","","","JX969522","","JX969014","","","","JX969600","","","","",""
"Phymaturus_sinervoi","","","","","","","","","","","","","","","","",""
"Phymaturus_sitesi","JX969100","","","","","JX969553","","JX969049","","","","JX969584","","","","",""
"Phymaturus_somuncurensis","JX969089","AF215261","","","","JX969543","","JX969038","AF049865","AF049865","","JX969573","","","","AY662594",""
"Phymaturus_spectabilis","JX969090","","","","","JX969544","","JX969039","","","","JX969574","","","","",""
"Phymaturus_spurcus","JX969091","","","","","JX969545","","JX969040","","","","JX969575","","","","",""
"Phymaturus_tenebrosus","JX969092","","","","","JX969546","","JX969041","","","","JX969576","","","","",""
"Phymaturus_verdugo","JX969066","","","","","JX969523","","JX969015","","","","JX969601","","","","",""
"Phymaturus_videlai","","","","","","","","JX949166","","","","","","","","",""
"Phymaturus_vociferator","JX969067","","","","","JX969524","","JX969016","","","","JX969602","","","","",""
"Phymaturus_williamsi","","","","","","","","","","","","","","","","",""
"Phymaturus_yachanana","","","","","","","","","","","","","","","","",""
"Phymaturus_zapalensis","JX969093","","","","","JX969547","","JX969042","GQ502773","GQ502773","","JX969577","","","","",""
"Physignathus_cocincinus","AF236822","AB031990","","AY987978","JF806049","AF039476","","AB263945","U82690","U82690","","AY988007","","JN880866","HQ876322","AY662582",""
"Pinoyscincus_abdictus","JF497920","JF498048","","","","","","","","GU573561","JF498523","","","","JF498404","",""
"Pinoyscincus_coxi","JF497927","JF498056","","","","","","","","GU573566","JF498531","","","","JF498412","",""
"Pinoyscincus_jagori","JF497932","JF498060","","","","","","","","JX943515","JF498534","","","","JF498416","",""
"Pinoyscincus_llanosi","JF497940","JF498067","","","","","","","","GU573558","JF498541","","","","JF498424","",""
"Pinoyscincus_mindanensis","JF497942","JF498070","","","","","","","","JF498185","JF498543","","","","JF498426","",""
"Placosoma_cipoense","","","","","","","","","","","","","","","","",""
"Placosoma_cordylinum","AF420673","AF420734","","","","AF420823","","","","","AF420879","","","","","",""
"Placosoma_glabellum","AF420674","AF420742","","","","AF420833","","","","","AF420907","","","","","",""
"Platysaurus_broadleyi","HQ167136","HQ167247","","","","","","","","HQ167025","","","","HQ167576","","",""
"Platysaurus_capensis","HQ167137","HQ167248","","","","","","AY167392","AY607273","AY607273","","","","HQ167577","","",""
"Platysaurus_guttatus","","","","","","","","","","","","","","","","",""
"Platysaurus_imperator","","","","","","","","","","","","","","","","",""
"Platysaurus_intermedius","AF236037","HQ167252","","","","","","","","HQ167030","","","","HQ167581","","",""
"Platysaurus_lebomboensis","","","","","","","","","","","","","","","","",""
"Platysaurus_maculatus","","","","","","","","","","","","","","","","",""
"Platysaurus_minor","HQ167139","HQ167250","","","","","","","","HQ167028","","","","HQ167579","","",""
"Platysaurus_mitchelli","HQ167140","HQ167251","","","","","","","","HQ167029","","","","HQ167580","","",""
"Platysaurus_monotropis","AF236038","AF236038","","","","","","","","","","","","","","",""
"Platysaurus_ocellatus","","","","","","","","","","","","","","","","",""
"Platysaurus_orientalis","","","","","","","","","","","","","","","","",""
"Platysaurus_pungweensis","","","","JN654801","JN654820","EU116686","","EU116516","","","KC621499","EU108029","","JN880867","JN568488","JN654862",""
"Platysaurus_relictus","","","","","","","","","","","","","","","","",""
"Platysaurus_torquatus","","","","","","","","","","","","","","","","",""
"Plestiodon_anthracinus","JF497943","AY308197","","HM160596","","","","","AY607293","AY607293","JF498545","","","","HQ907630","AY662634",""
"Plestiodon_barbouri","EU202957","EU202998","","HM160605","","","","EU203041","HM160794","","","","","","HM161079","HM161173",""
"Plestiodon_bilineatus","","","","HM160598","","","","","HQ655828","","","","","","HM161072","HM161167",""
"Plestiodon_brevirostris","AY308347","AY308198","","HM160600","","","","","AY607295","AY607295","","","","","HM161074","HM161168",""
"Plestiodon_callicephalus","","","","HM160606","","","","","AY607296","AY607296","","","","","HM161080","HM161175",""
"Plestiodon_capito","","","","HM160608","","","","","AY607289","AY607289","","","","","HM161082","HM161177",""
"Plestiodon_chinensis","JN117724","","","EF646320","","","","","HM160801","","","EF646344","","","HM161084","HM161179",""
"Plestiodon_colimensis","","","","","","","","","","","","","","","","",""
"Plestiodon_copei","","","","HM160612","","","","","HQ655860","","","","","","HM161086","HM161181",""
"Plestiodon_coreensis","","","","","","","","","","","","","","","","",""
"Plestiodon_dicei","","","","HM160614","","","","","HQ655858","","","","","","HM161088","HM161183",""
"Plestiodon_dugesii","","","","HM160616","","","","","HQ655863","","","","","","HM161090","HM161185",""
"Plestiodon_egregius","NC_000888","NC_000888","","HM160618","","","NC_000888","NC_000888","AY607292","AY607292","NC_000888","","","","HM161092","HM161187",""
"Plestiodon_elegans","AY649112","AY649153","","HM160621","","","NC_024576","EU203036","HM160812","NC_024576","NC_024576","","","","HM161094","HM161190",""
"Plestiodon_fasciatus","AY315505","AY308199","","HM160622","JF806034","HQ655218","","DQ241673","AY607299","AY607299","JF498546","JF804547","","JN880868","HQ876347","HM161191",""
"Plestiodon_finitimus","","","","","","","JN089941","","","","","","","","","",""
"Plestiodon_gilberti","AY308350","AY308201","","HM160624","","","","","AY607290","AY607290","","","","","HM161098","HM161193",""
"Plestiodon_indubitus","","","","HM160602","","","","","HQ655857","","","","","","HM161076","HM161171",""
"Plestiodon_inexpectatus","AY218040","AY217990","","HM160626","","AY217888","","AY217837","AY607297","AY607297","","","HQ426253","","DQ119611","AY662632","DQ119628"
"Plestiodon_japonicus","EU202993","EU203034","","HM160629","","","JN089955","AB761034","HM160820","","","","","","HM161103","HM161196",""
"Plestiodon_kishinouyei","","","","HM160631","","","","","HM160822","","","","","","HM161105","HM161200",""
"Plestiodon_kuchinoshimensis","","","","","","AB859639","","AB760950","","","","","","","","AB859645",""
"Plestiodon_lagunensis","","","","HM160632","","","","","HM160823","","","","","","HM161106","HM161201",""
"Plestiodon_laticeps","AY218039","AY308205","","HM160633","","AY217887","","EU116510","AY607300","AY607300","KC621626","EU108023","","","HM161107","HM161202",""
"Plestiodon_latiscutatus","AY308355","AY308206","","HM160635","","","JN089946","AB761035","HM160826","","","","","","HM161109","HM161204",""
"Plestiodon_liui","","","","","","","","","","","","","","","","",""
"Plestiodon_longirostris","AY649113","AY649154","","HM160637","","","","","HM160828","","","","","","HM161111","HM161206",""
"Plestiodon_lynxe","AY649114","AY308208","","HM160639","","","","","HM160829","","","","","","HM161113","HM161208",""
"Plestiodon_marginatus","EU202955","EU202996","","HM160640","","AB859640","","AB761021","HM160831","","","","","","HM161114","HM161209",""
"Plestiodon_multilineatus","","","","","","","","","","","","","","","","",""
"Plestiodon_multivirgatus","","","","HM160645","","","","","DQ005638","DQ005638","","","","","HM161119","HM161214",""
"Plestiodon_nietoi","","","","","","","","","","","","","","","","",""
"Plestiodon_obsoletus","AY649116","AF549169","","HM160646","","","","","AY607298","AY607298","AY550686","","","","HM161120","HM161215",""
"Plestiodon_ochoterenae","","","","HM160648","","","","","HQ655865","","","","","","HM161122","HM161217",""
"Plestiodon_oshimensis","","","","","","AB859642","","","","","","","","","","AB859653",""
"Plestiodon_parviauriculatus","","","","HM160649","","","","","HQ655867","","","","","","HM161123","HM161218",""
"Plestiodon_parvulus","","HM012697","","HM160651","","","","","HQ655869","","","","","","HM161124","HM161219",""
"Plestiodon_popei","","","","","","","","","","","","","","","","",""
"Plestiodon_quadrilineatus","JF497945","JF498073","","HM160652","","","","","AY607288","AY607288","JF498547","","","","HQ907628","HM161221",""
"Plestiodon_reynoldsi","AY649126","AY308211","","HM160654","","","","AF470654","AY607294","AY607294","","","","","HM161127","HM161223",""
"Plestiodon_septentrionalis","AY308363","AY308214","","HM160656","","","","","HM160847","","AY169638","","","","HM161129","HM161225",""
"Plestiodon_skiltonianus","AY308364","AY308215","","HM160658","","AF315396","","","AY607291","AY607291","","","","JN880869","HM161131","AY662633",""
"Plestiodon_stimpsonii","EU202956","EU202997","","HM160660","","","","EU203039","HM160851","","","","","","HM161133","HM161229",""
"Plestiodon_sumichrasti","","","","HM160661","","","","","HM160852","","","","","","HM161134","HM161230",""
"Plestiodon_tamdaoensis","","","","HM160663","","","","","HM160854","","","","","","HM161136","HM161232",""
"Plestiodon_tetragrammus","","","","HM160664","","","","","HM160855","","","","","","HM161137","HM161233",""
"Plestiodon_tunganus","","","","HM160666","","","","","HM160857","","","","","","HM161139","HM161235",""
"Pletholax_gracilis","","AY134530","","","","AY134566","","","","AY134602","","","HQ426227","","","FJ571631","HQ426489"
"Plica_caribeana","","","","","","","","","","","","","","","","",""
"Plica_kathleenae","","","","","","","","","","","","","","","","",""
"Plica_lumaria","AF362519","","","","","","AF040129","","","","","","","","","",""
"Plica_medemi","","","","","","","","","","","","","","","","",""
"Plica_pansticta","","","","","","","","","","","","","","","","",""
"Plica_plica","AB218961","AB218961","","JF806028","JF806071","EF615737","AB218961","AB218961","AF528748","AF528748","AB218961","JF804573","","JN880885","JF804607","FJ356742",""
"Plica_rayi","","","","","","","","","","","","","","","","",""
"Plica_umbra","AF362521","","","","","","","","","","","","","","","",""
"Podarcis_bocagei","AJ250168","DQ081076","","","","AF315399","AF372078","DQ081139","","","DQ081151","","","","","",""
"Podarcis_carbonelli","AF469419","DQ081079","","","","","AF372057","DQ081142","","","DQ081155","","","","","",""
"Podarcis_cretensis","","","","","","KF003244","KF003298","KF003359","","","","","","","","",""
"Podarcis_erhardii","AJ250160","AY896219","","","","","","FJ895788","","","","","","","","",""
"Podarcis_filfolensis","DQ017660","","","","","KF022085","","KF022066","","KF022078","KJ027788","","","","","",""
"Podarcis_gaigeae","AF133444","AY768739","","","","","","AY768775","","","","","","","","",""
"Podarcis_guadarramae","","","","","","","","","","","","","","","","",""
"Podarcis_hispanicus","AF206601","AF206601","","","","AF148702","AF372067","AY234154","","AY234144","DQ081168","","","","","AY487363","DQ119630"
"Podarcis_levendis","","","","","","","","","","","","","","","","",""
"Podarcis_lilfordi","EF694763","","","","","EU006713","KF003303","AY046285","","EU006763","","","","","","",""
"Podarcis_liolepis","HQ898172","","","","","","","HQ652946","","","KF372376","","","","","",""
"Podarcis_melisellensis","AJ250163","AY185015","","","","","","AY185097","","","","","","","","",""
"Podarcis_milensis","AJ250161","AY768741","","","","","","AY768777","","","","","","","","",""
"Podarcis_muralis","NC_011607","NC_011607","","","","EF632282","NC_011607","FJ460597","NC_011607","AY234145","FJ460597","","KF372111","","","HQ616541",""
"Podarcis_peloponnesiacus","AJ250165","AY896179","","","","KF003247","KF003301","AF486231","","","","","","","","",""
"Podarcis_pityusensis","AJ250158","","","","","EU006715","KF003305","JX852092","","JX852137","","","","","","",""
"Podarcis_raffoneae","AJ250157","","","","","","","","","","KJ027980","","","","","",""
"Podarcis_siculus","NC_011609","NC_011609","","","","EU006716","NC_011609","FJ460598","NC_011609","EU006727","FJ460598","","HQ426255","","","",""
"Podarcis_tauricus","AJ250164","AY768726","","","","","","AY768753","","","","","","","","",""
"Podarcis_tiliguerta","DQ017657","","","","","","","JX852114","","JX852141","","","","","","",""
"Podarcis_vaucheri","AJ250167","DQ081100","","","","","","AY234164","","AY234153","DQ081172","","","","","",""
"Podarcis_virescens","","","","","","","","","","","","","","","","",""
"Podarcis_waglerianus","DQ017659","","","","","","","","","","KJ027979","","","","","",""
"Pogona_barbata","","","","DQ340738","","DQ340690","","","AF128474","AF128474","","","","","","HQ662419",""
"Pogona_henrylawsoni","","","","","","","","","AY133021","AY133021","","","","","","HQ662416",""
"Pogona_microlepidota","","","","","","","","","","","","","","","","",""
"Pogona_minima","","","","","","","","","AY133022","AY133022","","","","","","",""
"Pogona_minor","","","","","","","","","AY133023","AY133023","","","","","","HQ662418",""
"Pogona_mitchelli","","","","","","","","","AY133024","AY133024","","","","","","",""
"Pogona_nullarbor","","","","","","","","","AY133025","AY133025","","","","","","HQ662415",""
"Pogona_vitticeps","AB166795","AB166795","","JF806015","JF795595","DQ340691","AB166795","NC_006922","AY133026","AY133026","AB166795","JF804563","","JN880870","JF804600","HQ662414",""
"Polychrus_acutirostris","AF338331","","","","","","","","AF528737","AF528737","","","","","","",""
"Polychrus_femoralis","AF338335","","","","","","","","","","","","","","","",""
"Polychrus_gutturosus","AF338338","","","","","","","","","","","","","","","",""
"Polychrus_jacquelinae","","","","","","","","","","","","","","","","",""
"Polychrus_liogaster","","","","","","","","","","","","","","","","",""
"Polychrus_marmoratus","NC_012839","NC_012839","","HQ876222","JF806066","AY987983","JN112789","NC_012839","AF528738","AF528738","AB266749","AY987995","","JN880871","HQ876335","FJ356748",""
"Polychrus_peruvianus","","","","","","","","","","","","","","","","",""
"Poromera_fordii","AF080368","AF080370","","","","EF632283","","AF080369","","","","","","","","EF632240",""
"Potamites_apodemus","","","","","","","","","","","","","","","","",""
"Potamites_cochranae","","","","","","","","","","","","","","","","",""
"Potamites_ecpleopus","AF420656","AF420748","","","","AF420829","","","","","AF420890","","","","","",""
"Potamites_erythrocularis","","","","","","","","","","","","","","","","",""
"Potamites_flavogularis","","","","","","","","","","","","","","","","",""
"Potamites_juruazensis","AF420697","AF420757","","","","AF420857","","","","","AF420878","","","","","",""
"Potamites_montanicola","","","","","","","","","","","","","","","","",""
"Potamites_ocellatus","","","","","","","","","","","","","","","","",""
"Potamites_strangulatus","AY507847","AY507866","","","","","","","","","AY507885","","","","","",""
"Prasinohaema_flavipes","","","","","","","","","","","","","","","","",""
"Prasinohaema_parkeri","","","","","","","","","","","","","","","","",""
"Prasinohaema_prehensicauda","","","","","","","","","","","","","","","","",""
"Prasinohaema_semoni","","","","","","","","","","","","","","","","",""
"Prasinohaema_virens","AY169596","AY169633","","HQ655184","","HQ655219","","","","","AY169671","","","","","",""
"Pristidactylus_achalensis","","","","","","","","","","","","","","","","",""
"Pristidactylus_alvaroi","","","","","","","","","","","","","","","","",""
"Pristidactylus_araucanus","","","","","","","","","","","","","","","","",""
"Pristidactylus_casuhatiensis","","","","","","","","","","","","","","","","",""
"Pristidactylus_fasciatus","","","","","","","","","","","","","","","","",""
"Pristidactylus_nigroiugulus","","","","","","","","","","","","","","","","",""
"Pristidactylus_scapulatus","AF338333","","","","","","JN112790","","AF528732","AF528732","","","","","","FJ356746",""
"Pristidactylus_torquatus","","L41456","","JF806025","JF806067","","","","","","","JF804565","","JN880872","JF804601","JF806210",""
"Pristidactylus_valeriae","","","","","","","","","","","","","","","","",""
"Pristidactylus_volcanensis","","","","","","","","","","","","","","","","",""
"Pristurus_abdelkuri","KJ849840","","","","","KJ849974","","","","GU271137","","","","","","GU256883","KJ850109"
"Pristurus_adrarensis","KJ849842","","","","","KJ849975","","","","","","","","","","KJ850035","KJ850110"
"Pristurus_carteri","DQ852720","","","","","EF534929","","","","JX041419","","","EF534845","","","GU256884","EF534971"
"Pristurus_celerrimus","KJ849854","","","","","KJ849984","","","","GU271140","","","","","","GU256886","KJ850122"
"Pristurus_collaris","KJ849858","","","","","KJ849985","","","","","","","","","","KJ850049","KJ850124"
"Pristurus_crucifer","KJ849862","","","","","KJ849988","","","","GU271141","","","","","","GU256887","KJ850127"
"Pristurus_flavipunctatus","KJ849873","","","","","KJ849995","","","","GU271143","","","","","","GU256889","KJ850137"
"Pristurus_gallagheri","KJ849876","","","","","KJ849996","","","","","","","","","","KJ850066","KJ850139"
"Pristurus_guichardi","KJ849877","","","","","KJ849997","","","","GU271144","","","","","","GU256890","KJ850140"
"Pristurus_insignis","KJ849879","","","","","KJ849999","","","","GU271145","","","","","","GU256891","KJ850142"
"Pristurus_insignoides","KJ849880","","","","","KJ850000","","","","","","","","","","KJ850070","KJ850143"
"Pristurus_longipes","","","","","","","","","","","","","","","","",""
"Pristurus_mazbah","","","","","","","","","","","","","","","","",""
"Pristurus_minimus","KJ849885","","","","","KJ850005","","","","","","","","","","GU256892","KJ850148"
"Pristurus_obsti","KJ849886","","","","","KJ850006","","","","","","","","","","KJ850076","KJ850149"
"Pristurus_ornithocephalus","","","","","","","","","","","","","","","","",""
"Pristurus_phillipsii","","","","","","","","","","","","","","","","",""
"Pristurus_popovi","KJ849888","","","","","","","","","","","","","","","KJ850078","KJ850151"
"Pristurus_rupestris","KJ849903","","","","","KJ850018","","KF982742","","GU271142","","","","","","GU256888","KJ850166"
"Pristurus_saada","","","","","","","","","","","","","","","","",""
"Pristurus_samhaensis","KJ849910","","","","","KJ850025","","","","","","","","","","KJ850101","KJ850173"
"Pristurus_schneideri","","","","","","","","","","","","","","","","",""
"Pristurus_simonettai","","","","","","","","","","","","","","","","",""
"Pristurus_sokotranus","KJ849913","","","","","KJ850028","","","","GU271149","","","","","","GU256895","KJ850176"
"Pristurus_somalicus","KJ849916","","","","","KJ850032","","","","GU271150","","","","","","GU256897","KJ850180"
"Proablepharus_barrylyoni","","","","","","","","","","","","","","","","",""
"Proablepharus_kinghorni","","","","","","","","","","","","","","","","",""
"Proablepharus_naranjicaudus","","","","","","","","","","","","","","","","",""
"Proablepharus_reginae","","","","HQ655185","","HQ655220","","","","","","","","","","",""
"Proablepharus_tenuis","","","","","","","","","","","","","","","","",""
"Procellosaurinus_erythrocercus","AF420679","AF420711","","","","AF420836","","HM015530","","","AF420870","","","","","",""
"Procellosaurinus_tetradactylus","AF420703","AF420713","","","","AF420818","","","","","AF420871","","","","","",""
"Proctoporus_bolivianus","JX435936","AY968827","","","","AY507898","","","","","JX436062","","","","","",""
"Proctoporus_carabaya","","","","","","","","","","","","","","","","",""
"Proctoporus_cephalolineatus","","","","","","","","","","","","","","","","",""
"Proctoporus_chasqui","JX435888","JX435948","","","","JX436005","","","","","JX436051","","","","","",""
"Proctoporus_guentheri","AY507849","AY507872","","","","AY507901","","","","","AY225168","","","","","",""
"Proctoporus_iridescens","","","","","","","","","","","","","","","","",""
"Proctoporus_kiziriani","","","","","","","","","","","","","","","","",""
"Proctoporus_lacertus","","","","","","","","","","","","","","","","",""
"Proctoporus_pachyurus","AY968824","AY968834","","","","JX436050","","","","","JX436055","","","","","",""
"Proctoporus_sucullucu","AY507857","AY507878","","","","AY507906","","","","","JX436058","","","","","",""
"Proctoporus_unsaacae","AY968819","AY507882","","","","AY507909","","","","","AY225170","","","","","",""
"Proctoporus_xestus","JX435899","JX436001","","","","JX436007","","","","","JX436100","","","","","",""
"Proscelotes_aenea","","","","","","","","","","","","","","","","",""
"Proscelotes_arnoldi","","","","","","","","","","","","","","","","",""
"Proscelotes_eggeli","AY218032","AY155367","","","","AY217880","","AY217829","AY662558","AY662558","","","","","","AY662636",""
"Psammodromus_algirus","AF206588","AF206588","","","","EF632284","AF206567","DQ150365","","DQ150391","DQ150368","EU108030","","","","EF632241",""
"Psammodromus_blanci","DQ298608","DQ298678","","","","","","DQ298563","","","","","","","","",""
"Psammodromus_hispanicus","DQ298606","AF080379","","","","EF632285","","FJ587725","","","FJ587811","","","","","EF632242",""
"Psammodromus_microdactylus","","","","","","","","","","","","","","","","",""
"Psammodromus_occidentalis","","","","","","","","FJ587676","","","FJ587806","","","","","",""
"Psammophilus_blanfordanus","","","","","","","","","","","","","","","","",""
"Psammophilus_dorsalis","","","","","","","","","","","","","","","","",""
"Pseudemoia_baudini","","","","","","","","","","","KM263203","","","KM263444","","",""
"Pseudemoia_cryodroma","","","","","","","","","","","KM263214","","","KM263452","","",""
"Pseudemoia_entrecasteauxii","EU837126","EU837122","","","","","","EU837119","","EU837084","KM263228","","","KM263459","","EU837131",""
"Pseudemoia_pagenstecheri","","","","","","","","","","DQ675267","KM263320","","","KM263478","","DQ675347",""
"Pseudemoia_rawlinsoni","","","","","","","","","","","KM263322","","","KM263481","","",""
"Pseudemoia_spenceri","","","","","","","","","","","KM263324","","","KM263484","","",""
"Pseuderemias_brenneri","","","","","","","","","","","","","","","","",""
"Pseuderemias_erythrosticta","","","","","","","","","","","","","","","","",""
"Pseuderemias_mucronata","","","","","","","","","","","","","","","","",""
"Pseuderemias_savagei","","","","","","","","","","","","","","","","",""
"Pseuderemias_septemstriata","","","","","","","","","","","","","","","","",""
"Pseuderemias_smithii","","","","","","EF632286","","","","","","","","","","EF632243",""
"Pseuderemias_striatus","","","","","","","","","","","","","","","","",""
"Pseudoacontias_angelorum","","","","","","","","","","","","","","","","",""
"Pseudoacontias_madagascariensis","","","","","","","","","","","","","","","","",""
"Pseudoacontias_menamainty","AY315511","AY315560","","","","","","","AY315606","","","","","","","",""
"Pseudoacontias_unicolor","","","","","","","","","","","","","","","","",""
"Pseudocalotes_andamanensis","","","","","","","","","","","","","","","","",""
"Pseudocalotes_austeniana","","","","","","","","","","","","","","","","",""
"Pseudocalotes_brevipes","","","","","","","","AY572869","AF128502","AF128502","","","","","","",""
"Pseudocalotes_cybelidermus","","","","","","","","","","","","","","","","",""
"Pseudocalotes_dringi","","","","","","","","","","","","","","","","",""
"Pseudocalotes_flavigula","","","","","","","","","AF128503","AF128503","","","","","","",""
"Pseudocalotes_floweri","","","","","","","","","","","","","","","","",""
"Pseudocalotes_guttalineatus","","","","","","","","","","","","","","","","",""
"Pseudocalotes_kakhienensis","","","","","","","","","GQ502784","GQ502784","","","","","","",""
"Pseudocalotes_khaonanensis","","","","","","","","","","","","","","","","",""
"Pseudocalotes_kingdonwardi","","","","","","","","","","","","","","","","",""
"Pseudocalotes_larutensis","","","","","","","","","","","","","","","","",""
"Pseudocalotes_microlepis","","","","","","","","","","","","","","","","",""
"Pseudocalotes_poilani","","","","","","","","","","","","","","","","",""
"Pseudocalotes_rhammanotus","","","","","","","","","","","","","","","","",""
"Pseudocalotes_saravacensis","","","","","","","","","","","","","","","","",""
"Pseudocalotes_tympanistriga","","","","","","","","","","","","","","","","",""
"Pseudocalotes_ziegleri","","","","","","","","","","","","","","","","",""
"Pseudoceramodactylus_khobarensis","KC190704","KC190897","","HQ443614","","KC191006","","","","HQ443551","","","","","","","KC191123"
"Pseudocophotis_kontumensis","","","","","","","","","","","","","","","","",""
"Pseudocophotis_sumatrana","","","","","","","","","","","","","","","","",""
"Pseudocordylus_langi","HQ167146","HQ167256","","","","","","","","HQ167035","","","","HQ167586","","",""
"Pseudocordylus_melanotus","HQ167147","HQ167258","","","","","","","","HQ167036","","","","HQ167587","","",""
"Pseudocordylus_microlepidotus","HQ167149","HQ167260","","","","DQ249071","DQ249082","","","HQ167038","","","","HQ167589","","",""
"Pseudocordylus_spinosus","HQ167154","HQ167265","","","","","","","","HQ167044","","","","HQ167595","","",""
"Pseudocordylus_subviridis","HQ167156","HQ167267","","","","","","","","HQ167046","","","","HQ167597","","",""
"Pseudocordylus_transvaalensis","HQ167158","HQ167269","","","","","","","","HQ167048","","","","HQ167599","","",""
"Pseudogekko_brevipes","","","","","","KF875297","","","","KF875325","","","KF875379","","","",""
"Pseudogekko_compressicorpus","","","","","","KF875314","","","","JX515625","","","KF875394","","","JX515639",""
"Pseudogekko_labialis","","","","","","","","","","","","","","","","",""
"Pseudogekko_smaragdinus","","","","","","JQ945608","","","","JX515626","","","KF875401","","","JQ945332","JQ945501"
"Pseudogonatodes_barbouri","","","","","","","","","","","","","","","","",""
"Pseudogonatodes_furvus","","","","","","","","","","","","","","","","",""
"Pseudogonatodes_gasconi","","","","","","","","","","","","","","","","",""
"Pseudogonatodes_guianensis","","EU435276","","","","EU435261","","","","JX041421","","","HQ426229","","","EU435216","HQ426490"
"Pseudogonatodes_lunulatus","GU139951","","","","","GU139844","","","","","","GU139897","","","","",""
"Pseudogonatodes_manessi","GU139952","","","","","GU139845","","","","","","GU139898","","","","",""
"Pseudogonatodes_peruvianus","","","","","","","","","","","","","","","","",""
"Pseudopus_apodus","AF380955","JX987420","","JQ845039","JQ844992","","","AF380965","AF085623","AF085623","","JQ844946","","GQ285117","JN703073","GU457974",""
"Pseudothecadactylus_australis","","","","","","FJ855470","","","","JX024365","","","","","","FJ855449",""
"Pseudothecadactylus_cavaticus","","","","","","","","","","KJ685527","","","","","","KJ685537",""
"Pseudothecadactylus_lindneri","AF090177","GU460145","","","","HQ426573","","","AY369024","AY369024","","","HQ426230","","","AY662626","HQ426492"
"Pseudotrapelus_aqabensis","","","","","","","KP994948","","","","","","","","","KP994935",""
"Pseudotrapelus_dhofarensis","","","","","","","KP994946","","","","","","","","","KP994933",""
"Pseudotrapelus_jensvindumi","","","","","","","KP994949","","","","","","","","","KP994937",""
"Pseudotrapelus_sinaitus","NC_013603","NC_013603","","","","JX838988","AB262447","NC_013603","AF128507","AF128507","AB262447","JX839249","","","JX839168","KP994929",""
"Psilophthalmus_paeminosus","AF420702","AF420710","","","","AF420825","","","","","AF420872","","","","","",""
"Psychosaura_agmosticha","DQ239214","DQ238893","","","","DQ238974","","DQ239134","","","","","","","","",""
"Psychosaura_macrorhyncha","DQ239213","AF549170","","","","DQ238972","","DQ239132","","","","","","","","",""
"Ptenopus_carpi","DQ852711","","","","","AY172942","","","","JX041422","","","JQ945402","","","JQ945333","JQ945502"
"Ptenopus_garrulus","","","","","","","","","","","","","","","","",""
"Ptenopus_kochi","","","","","","","","","","","","","","","","",""
"Ptychoglossus_bicolor","","","","","","","","","","","","","","","","",""
