"","X12S","X16S","AMEL","BDNF","BMP2","CMOS","COI","CYTB","ND1","ND2","ND4","NT3","PDC","PRLR","R35","RAG1","RAG2"
"Blanus_tingitanus","","EF036466","","","","DQ324866","","","","DQ902269","DQ329241","","","","","",""
"Cadea_blanoides","EU203661","EU203661","EU203605","EU203612","","EU203613","","","","","","EU203629","","","EU203631","EU203662","EU203635"
"Cadea_palirostrata","","","","","","","","","","","","","","","","",""
"Chirindia_ewerbecki","","","","","","","","","","","","","","","","",""
"Chirindia_langi","","","","","","","","","","","","","","","","",""
"Chirindia_mpwapwaensis","","","","","","","","","","","","","","","","",""
"Chirindia_rondoensis","","","","","","","","","","","","","","","","",""
"Chirindia_swynnertoni","","HG425323","","","","AY444010","","","","HG425312","","","","","","AY444037",""
"Cynisca_bifrontalis","","","","","","","","","","","","","","","","",""
"Cynisca_degrysi","","","","","","","","","","","","","","","","",""
"Cynisca_feae","","","","","","","","","","","","","","","","",""
"Cynisca_gansi","","","","","","","","","","","","","","","","",""
"Cynisca_haugi","","","","","","","","","","","","","","","","",""
"Cynisca_kigomensis","","","","","","","","","","","","","","","","",""
"Cynisca_kraussi","","HG425322","","","","HG425295","","","","","","","","","","HG425277",""
"Cynisca_leonina","","","","","","","","","","","","","","","","",""
"Cynisca_leucura","","","","","","AY444011","","","","","","","","","","AY444038",""
"Cynisca_liberiensis","","","","","","","","","","","","","","","","",""
"Cynisca_muelleri","","","","","","","","","","","","","","","","",""
"Cynisca_nigeriensis","","","","","","","","","","","","","","","","",""
"Cynisca_oligopholis","","","","","","","","","","","","","","","","",""
"Cynisca_rouxae","","","","","","","","","","","","","","","","",""
"Cynisca_schaeferi","","","","","","","","","","","","","","","","",""
"Cynisca_senegalensis","","","","","","","","","","","","","","","","",""
"Cynisca_williamsi","","","","","","","","","","","","","","","","",""
"Dalophia_angolensis","","","","","","","","","","","","","","","","",""
"Dalophia_ellenbergeri","","HG425315","","","","HG425299","","","","HG425304","","","","","","HG425283",""
"Dalophia_gigantea","","","","","","","","","","","","","","","","",""
"Dalophia_longicauda","","","","","","","","","","","","","","","","",""
"Dalophia_luluae","","","","","","","","","","","","","","","","",""
"Dalophia_pistillum","","HG425320","","","","HG425294","","","","HG425313","","","","","","HG425282",""
"Diplometopon_zarudnyi","AY605474","KJ624788","","JN654798","JN654818","AY444023","NC_006283","AY605474","NC_006283","NC_006283","NC_006283","JN568326","","JN880828","JN568486","JN654858",""
"Geocalamus_acutus","AB162909","AB162909","","JN654800","JN654819","AY444017","AB162909","AB162909","NC_006285","FJ441967","AB162909","JN568319","","JN880839","JN568505","JN654860",""
"Geocalamus_modestus","","","","","","","","","","","","","","","","",""
"Loveridgea_ionidesii","","","","","","","","","","","","","","","","",""
"Loveridgea_phylofiniens","","","","","","","","","","","","","","","","",""
"Mesobaena_huebneri","","","","","","","","","","","","","","","","",""
"Mesobaena_rhachicephala","","","","","","","","","","","","","","","","",""
"Monopeltis_adercae","","","","","","","","","","","","","","","","",""
"Monopeltis_anchietae","","","","","","","","","","","","","","","","",""
"Monopeltis_capensis","","HG425324","","","","AY444009","","","","HG425311","","","","","","AY444036",""
"Monopeltis_decosteri","","","","","","","","","","","","","","","","",""
"Monopeltis_galeata","","","","","","","","","","","","","","","","",""
"Monopeltis_guentheri","","","","","","","","","","","","","","","","",""
"Monopeltis_infuscata","","","","","","","","","","","","","","","","",""
"Monopeltis_jugularis","","","","","","","","","","","","","","","","",""
"Monopeltis_kabindae","","","","","","","","","","","","","","","","",""
"Monopeltis_leonhardi","","","","","","","","","","","","","","","","",""
"Monopeltis_luandae","","","","","","","","","","","","","","","","",""
"Monopeltis_perplexus","","","","","","","","","","","","","","","","",""
"Monopeltis_remaclei","","","","","","","","","","","","","","","","",""
"Monopeltis_rhodesiana","","","","","","","","","","","","","","","","",""
"Monopeltis_scalper","","","","","","","","","","","","","","","","",""
"Monopeltis_schoutedeni","","","","","","","","","","","","","","","","",""
